[Hz],FFT[dBm]
1.168823242E+07,-9.23054E+01
1.171875000E+07,-9.32254E+01
1.174926758E+07,-1.03345E+02
1.177978516E+07,-9.41254E+01
1.181030273E+07,-9.09454E+01
1.184082031E+07,-9.57254E+01
1.187133789E+07,-1.16105E+02
1.190185547E+07,-1.02465E+02
1.193237305E+07,-9.60254E+01
1.196289062E+07,-9.68854E+01
1.199340820E+07,-9.51254E+01
1.202392578E+07,-9.42454E+01
1.205444336E+07,-9.70454E+01
1.208496094E+07,-1.00845E+02
1.211547852E+07,-1.05985E+02
1.214599609E+07,-1.01265E+02
1.217651367E+07,-9.95454E+01
1.220703125E+07,-9.19454E+01
1.223754883E+07,-9.35054E+01
1.226806641E+07,-1.14845E+02
1.229858398E+07,-9.79054E+01
1.232910156E+07,-9.92054E+01
1.235961914E+07,-1.00125E+02
1.239013672E+07,-9.77854E+01
1.242065430E+07,-9.77254E+01
1.245117188E+07,-9.24654E+01
1.248168945E+07,-9.24454E+01
1.251220703E+07,-9.72254E+01
1.254272461E+07,-9.44454E+01
1.257324219E+07,-9.77054E+01
1.260375977E+07,-1.11845E+02
1.263427734E+07,-1.00865E+02
1.266479492E+07,-9.84254E+01
1.269531250E+07,-1.12125E+02
1.272583008E+07,-1.05285E+02
1.275634766E+07,-9.79854E+01
1.278686523E+07,-9.39254E+01
1.281738281E+07,-9.67054E+01
1.284790039E+07,-1.06745E+02
1.287841797E+07,-1.11405E+02
1.290893555E+07,-1.11545E+02
1.293945312E+07,-1.02825E+02
1.296997070E+07,-9.33654E+01
1.300048828E+07,-9.31454E+01
1.303100586E+07,-9.86254E+01
1.306152344E+07,-9.90054E+01
1.309204102E+07,-9.49054E+01
1.312255859E+07,-9.86854E+01
1.315307617E+07,-1.03845E+02
1.318359375E+07,-9.90254E+01
1.321411133E+07,-9.87854E+01
1.324462891E+07,-1.03065E+02
1.327514648E+07,-1.11065E+02
1.330566406E+07,-9.90054E+01
1.333618164E+07,-9.50854E+01
1.336669922E+07,-1.02345E+02
1.339721680E+07,-9.72854E+01
1.342773438E+07,-1.01605E+02
1.345825195E+07,-1.01865E+02
1.348876953E+07,-9.80054E+01
1.351928711E+07,-9.67454E+01
1.354980469E+07,-9.97654E+01
1.358032227E+07,-1.00225E+02
1.361083984E+07,-9.52454E+01
1.364135742E+07,-9.50854E+01
1.367187500E+07,-1.03565E+02
1.370239258E+07,-1.05705E+02
1.373291016E+07,-1.01445E+02
