[Hz],FFT[dBm]
3.8818359E+05,-6.17254E+01
3.8940430E+05,-5.40854E+01
3.9062500E+05,-5.23254E+01
3.9184570E+05,-5.69854E+01
3.9306641E+05,-5.59054E+01
3.9428711E+05,-5.46254E+01
3.9550781E+05,-6.15454E+01
3.9672852E+05,-5.40454E+01
3.9794922E+05,-5.42254E+01
3.9916992E+05,-6.36854E+01
4.0039062E+05,-6.34454E+01
4.0161133E+05,-6.83254E+01
4.0283203E+05,-6.65054E+01
4.0405273E+05,-5.96654E+01
4.0527344E+05,-6.14454E+01
4.0649414E+05,-6.65054E+01
4.0771484E+05,-6.23854E+01
4.0893555E+05,-6.55654E+01
4.1015625E+05,-5.28654E+01
4.1137695E+05,-5.55254E+01
4.1259766E+05,-5.60854E+01
4.1381836E+05,-5.55254E+01
4.1503906E+05,-6.64854E+01
4.1625977E+05,-7.09854E+01
4.1748047E+05,-6.21854E+01
4.1870117E+05,-6.10654E+01
4.1992188E+05,-6.30254E+01
4.2114258E+05,-5.88054E+01
4.2236328E+05,-6.37254E+01
4.2358398E+05,-5.37054E+01
4.2480469E+05,-5.27454E+01
4.2602539E+05,-5.24654E+01
4.2724609E+05,-5.33054E+01
4.2846680E+05,-5.29254E+01
4.2968750E+05,-5.37654E+01
4.3090820E+05,-5.85254E+01
4.3212891E+05,-8.14454E+01
4.3334961E+05,-6.21854E+01
4.3457031E+05,-6.02654E+01
4.3579102E+05,-6.16054E+01
4.3701172E+05,-5.24054E+01
4.3823242E+05,-5.40254E+01
4.3945312E+05,-5.55254E+01
4.4067383E+05,-5.49654E+01
4.4189453E+05,-6.47254E+01
4.4311523E+05,-6.11454E+01
4.4433594E+05,-5.44854E+01
4.4555664E+05,-5.71854E+01
4.4677734E+05,-6.04654E+01
4.4799805E+05,-5.91654E+01
4.4921875E+05,-5.81854E+01
4.5043945E+05,-5.76854E+01
4.5166016E+05,-5.57654E+01
4.5288086E+05,-6.00854E+01
4.5410156E+05,-5.94054E+01
4.5532227E+05,-5.88054E+01
4.5654297E+05,-6.57654E+01
4.5776367E+05,-5.81054E+01
4.5898438E+05,-6.11654E+01
4.6020508E+05,-6.07854E+01
4.6142578E+05,-5.86054E+01
4.6264648E+05,-5.54054E+01
4.6386719E+05,-6.04654E+01
4.6508789E+05,-7.09454E+01
4.6630859E+05,-6.82654E+01
4.6752930E+05,-6.80854E+01
