Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,,Point Format,Y
Horizontal Units,S,,,,Horizontal Units,S
Horizontal Scale,2e-05,,,,Horizontal Scale,0.0002
Sample Interval,0,,,,Sample Interval,1.6e-06
Filter Frequency,2e+08,,,,Filter Frequency,2e+08
Record Length,2000,,,,Record Length,2000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,1,1,1,,Vertical Scale,0.02
Label,,,,,Label,
TIME,CH1,CH2,CH3,,TIME,REF1
-5.00000000000e-04,-5,1.92,2.56,,1.378e-03,0.054
-5.00000000000e-04,-5,1.92,2.56,,1.379e-03,0.054
-5.00000000000e-04,-5,1.88,2.56,,1.381e-03,0.054
-5.00000000000e-04,-5,1.88,2.56,,1.382e-03,0.054
-5.00000000000e-04,-5,1.84,2.56,,1.384e-03,0.0532
-5.00000000000e-04,-5,1.84,2.56,,1.386e-03,0.0532
-5.00000000000e-04,-5,1.8,2.56,,1.387e-03,0.054
-5.00000000000e-04,-5,1.8,2.56,,1.389e-03,0.0532
-5.00000000000e-04,-5,1.76,2.56,,1.390e-03,0.0532
-5.00000000000e-04,-5,1.76,2.56,,1.392e-03,0.0532
-5.00000000000e-04,-5,1.72,2.56,,1.394e-03,0.0532
-5.00000000000e-04,-5,1.68,2.56,,1.395e-03,0.0524
-5.00000000000e-04,-5,1.68,2.52,,1.397e-03,0.0532
-5.00000000000e-04,-5,1.64,2.56,,1.398e-03,0.0532
-5.00000000000e-04,-5,1.64,2.56,,1.400e-03,0.0532
-5.00000000000e-04,-5,1.6,2.56,,1.402e-03,0.0524
-5.00000000000e-04,-5,1.56,2.56,,1.403e-03,0.0532
-5.00000000000e-04,-5,1.56,2.56,,1.405e-03,0.0532
-5.00000000000e-04,-5,1.56,2.56,,1.406e-03,0.0524
-5.00000000000e-04,-5,1.52,2.56,,1.408e-03,0.0524
-5.00000000000e-04,-4.96,1.52,2.56,,1.410e-03,0.0532
-5.00000000000e-04,-5,1.48,2.56,,1.411e-03,0.0532
-5.00000000000e-04,-4.96,1.48,2.56,,1.413e-03,0.0532
-5.00000000000e-04,-5,1.48,2.52,,1.414e-03,0.0532
-5.00000000000e-04,-5,1.48,2.56,,1.416e-03,0.0532
-5.00000000000e-04,-5,1.44,2.56,,1.418e-03,0.0524
-5.00000000000e-04,-5,1.44,2.56,,1.419e-03,0.0532
-5.00000000000e-04,-5,1.4,2.56,,1.421e-03,0.0532
-5.00000000000e-04,-5,1.4,2.56,,1.422e-03,0.0532
-5.00000000000e-04,-5,1.36,2.56,,1.424e-03,0.0532
-5.00000000000e-04,-5,1.36,2.56,,1.426e-03,0.0532
-5.00000000000e-04,-5,1.36,2.56,,1.427e-03,0.0532
-5.00000000000e-04,-5,1.32,2.56,,1.429e-03,0.0532
-5.00000000000e-04,-5,1.32,2.56,,1.430e-03,0.0532
-5.00000000000e-04,-5,1.32,2.56,,1.432e-03,0.0532
-5.00000000000e-04,-5,1.28,2.56,,1.434e-03,0.0532
-5.00000000000e-04,-5,1.28,2.56,,1.435e-03,0.0532
-5.00000000000e-04,-5,1.24,2.56,,1.437e-03,0.0532
-5.00000000000e-04,-4.96,1.24,2.56,,1.438e-03,0.0524
-5.00000000000e-04,-5,1.24,2.56,,1.440e-03,0.0532
-5.00000000000e-04,-4.96,1.24,2.6,,1.442e-03,0.0524
-5.00000000000e-04,-5,1.2,2.56,,1.443e-03,0.0524
-5.00000000000e-04,-5,1.2,2.56,,1.445e-03,0.0524
-5.00000000000e-04,-5,1.2,2.56,,1.446e-03,0.0524
-5.00000000000e-04,-5,1.16,2.56,,1.448e-03,0.0524
-5.00000000000e-04,-5,1.16,2.56,,1.450e-03,0.0532
-5.00000000000e-04,-4.96,1.12,2.56,,1.451e-03,0.0532
-5.00000000000e-04,-4.96,1.16,2.56,,1.453e-03,0.0524
-5.00000000000e-04,-5,1.12,2.56,,1.454e-03,0.0524
-5.00000000000e-04,-5,1.12,2.56,,1.456e-03,0.0524
-5.00000000000e-04,-5,1.12,2.56,,1.458e-03,0.0532
-5.00000000000e-04,-5,1.08,2.56,,1.459e-03,0.0524
-5.00000000000e-04,-5,1.08,2.56,,1.461e-03,0.0524
-5.00000000000e-04,-5,1.08,2.56,,1.462e-03,0.0524
